Tweets,Label
Asdik 3an Corona?,Neutral
alla wl arguile bas y5ls corona ma ha ensiya HAHAHA,Neuroticism
Ha kasser hale wlo mch ma2boul hada ye2naane enno l dawa mch mawjoud men abel w 3emlinlo hseb bs henne 3m yaamlouwa ased #ÙƒÙˆØ±ÙˆÙ†Ø§_Ù„Ø¨Ù†Ø§Ù† #ÙƒÙˆØ±ÙˆÙ†Ø§,Neuroticism
ma ye7kune bkun mamnune l2no unlike them bhal quarantine 3andi more work than usualðŸ˜‚ðŸ˜‚,Conscientiousness
Fi hada ba3ed ma 3emel cinnamon rolls bhal quarantine?,Neuroticism
Aya Day Quarantine Hayda Bass? ðŸ˜‚,Neutral
Hahahahahaha allah yseedna chu rah net3ab baad hajer,Extraversion
@najwakaram bhal hajer inti farhitna,Extraversion
L tri2a l wahide owsal lal 1 Million b7yete hye kon Corona patient number 1 Million bs kamen s3be cz b3d kam se3a ha ywsaloðŸ˜¢,Openness
stepsister: hala2 eende videoclip bs yo5las corona me: *kif yaane bs y5ls corona*,Neuroticism
ya allah 7a enhar I miss dressing up 7a ebke please sorry friends kel mashru3 byerkab post corona jeye 3le bkel outfit extra aktar min li abla,Extraversion
Lfahes majene lal aalam l aanda corona aw yale aanda symptoms aw yalle khtalatet b hada aando symptoms:) Ykhafefo fazelke aa rabb l dawle w yenfezro ba2a! Ma aatoul l dawle fesde ! L shaeb bala mekh,Neuroticism
@GhaziWazni sorry fiye plz a3ref aymata rah ysir l $bi 5000? Nchalla baad l corona ðŸ˜ðŸ˜,Neuroticism
Nshala quarantine yokhlas b asra3 wa2et mumken la2an l 3alam balasho yjeno ,Neuroticism
Yalle mfakkar 7alo mahdum huwe w 3am yru7 3and ref2ato bel quarantine period: enta 7mar w ref2atak 7ameer,Neuroticism
we're in quarantine and she won't reply mish meshe l 7al abdannn,Neuroticism
Ya3ne law ma 7ajer w corona knt eltellak 15 mns bkoun 3endak,Openness
Jâ€™amÃ¨ne faker bil corona Mr. ,Neutral
Bas ma ykoun fiye o3tos in public ta ma yfakro ma3e corona ,Openness
Ana kla z3tar. A7san bde covid y fell ba3a,Neutral
Sar fene efhas dene kella now am coronavirus negative ðŸ˜‚,Extraversion
Esto me partiÃ³ el alma ðŸ˜­ #Venezuela #ÙÙŠØ±ÙˆØ³_ÙƒÙˆØ±ÙˆÙ†Ø§ #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª #FelizViernesAtodos #Colombia @EmbaVELibano @petrogustavo @VTVcanal8 @IvanDuque @VP @CancilleriaVE @VPITV #LacaseDePapel4 @tve_tve @CaraotaDigital @NoticiasRCN @RCamachoVzla @ConElMazoDando @teleSURtv @Citytv â€“ at Baaloul,Neutral 
